Сделка 641: Открыта 2021-05-06, Закрыта 2021-05-11, PnL=-183.63, Return=-835.00%
Сделка 642: Открыта 2021-05-11, Закрыта 2021-05-13, PnL=-433.62, Return=-2013.12%
Сделка 643: Открыта 2021-05-17, Закрыта 2021-06-09, PnL=277.04, Return=1292.79%
Сделка 644: Открыта 2021-06-09, Закрыта 2021-06-29, PnL=1225.25, Return=5626.71%
Сделка 645: Открыта 2021-06-09, Закрыта 2021-07-01, PnL=11.97, Return=51.52%
Сделка 646: Открыта 2021-06-09, Закрыта 2021-07-14, PnL=-52.39, Return=-243.01%
Сделка 647: Открыта 2021-07-22, Закрыта 2021-07-27, PnL=-184.31, Return=-888.00%
Сделка 648: Открыта 2021-07-30, Закрыта 2021-08-04, PnL=-184.23, Return=-894.00%
Сделка 649: Открыта 2021-08-06, Закрыта 2021-08-10, PnL=-254.25, Return=-1191.04%
Сделка 650: Открыта 2021-08-16, Закрыта 2021-08-18, PnL=-110.89, Return=-527.42%
Сделка 651: Открыта 2021-08-18, Закрыта 2021-09-10, PnL=884.20, Return=4308.80%
Сделка 652: Открыта 2021-09-10, Закрыта 2021-09-20, PnL=-184.36, Return=-892.00%
Сделка 653: Открыта 2021-09-10, Закрыта 2021-09-24, PnL=68.88, Return=336.78%
Сделка 654: Открыта 2021-09-10, Закрыта 2021-09-24, PnL=-0.41, Return=-2.03%
Сделка 655: Открыта 2021-09-10, Закрыта 2021-10-04, PnL=759.77, Return=3750.16%
Сделка 656: Открыта 2021-10-04, Закрыта 2021-10-22, PnL=1850.94, Return=9320.00%
Сделка 657: Открыта 2021-11-08, Закрыта 2021-11-29, PnL=-186.78, Return=-893.00%
Сделка 658: Открыта 2021-11-29, Закрыта 2021-12-02, PnL=-170.78, Return=-827.25%
Сделка 659: Открыта 2021-12-02, Закрыта 2021-12-13, PnL=-186.42, Return=-885.00%
Сделка 660: Открыта 2021-12-13, Закрыта 2021-12-15, PnL=-194.64, Return=-934.87%
Сделка 661: Открыта 2021-12-16, Закрыта 2021-12-20, PnL=-131.46, Return=-629.59%
Сделка 662: Открыта 2021-12-21, Закрыта 2021-12-27, PnL=-83.95, Return=-406.96%
Сделка 663: Открыта 2021-12-27, Закрыта 2022-01-05, PnL=-185.73, Return=-897.00%
Сделка 664: Открыта 2022-01-05, Закрыта 2022-01-07, PnL=-371.37, Return=-1824.00%
Сделка 665: Открыта 2022-01-10, Закрыта 2022-01-18, PnL=-185.18, Return=-922.00%
Сделка 666: Открыта 2022-01-20, Закрыта 2022-01-24, PnL=-640.54, Return=-3141.29%
Сделка 667: Открыта 2022-01-24, Закрыта 2022-01-26, PnL=207.39, Return=1072.25%
